sentence,source,word_count
Kò sí ẹ̀rí tí ó fi ẹsẹ̀ rinlẹ̀ .,masakhaner,9
Wákàtí méje ti ré kọjá lọ tí Luis Carlos Díaz ti di àwátì .,masakhaner,14
"radionet Luis Carlos Díaz , ti wà nínú àtìmọ́lé agbófinró Ìlú .",masakhaner,12
A bá a kẹ́dùn ipò tí ó wà .,masakhaner,9
Ìwé àbádòfin ìlò ẹ̀rọ alátagbà yóò pa òmìnira ọ̀rọ̀ sísọ lórí ayélujára ní Nàìjíríà,masakhaner,14
Ìwé àbádòfin náà yóò fi àṣẹ fún ìṣánpa ẹ̀rọ ayélujára ní Nàìjíríàj,masakhaner,12
Àtẹ̀jáde ìtúmọ̀ 3 Ọ̀pẹ 2019 15 : 10 GMT,masakhaner,9
Aṣojú Mohammed Sani Musa ni agbátẹrùu ìwé àbádòfin ìlò ẹ̀rọ alátagbà .,masakhaner,12
Àwòrán àgékù láti ibùdó Channel Television You Tube .,masakhaner,9
Ẹ̀ṣẹ̀ ni bí o bá gbó ìjọba lẹ́nu ( tako ìjọba ),masakhaner,12
"èdèe Nàìjíríà pẹ̀lú àwọn orílẹ̀ èdè mìíràn . """"""""",masakhaner,9
ẹ̀rọ ayélukára bí ajere Nàìjíríà yóò bọ́ sí .,masakhaner,9
Èyí léwu nítorí ó fi àyè gba àwọn onípò àṣẹ láti lo agbára nílòkulò .,masakhaner,15
Ta ní í sọ bóyá gbólóhùn kan lè fa rògbòdìyàn ?,masakhaner,11
Àṣẹ fún Àjọ Agbófinró láti ṣán ẹ̀rọ ayélujára pa fúngbà díẹ̀,masakhaner,11
Àwọn aṣojú - ṣòfin tí ó wà lẹ́yìn ìwé àbádòfin ẹ̀rọ alátagbà náà,masakhaner,13
Àjọ Elétò ( INEC ) gba ẹ̀sùn náà mọ́ra .,masakhaner,10
wọ́n kóra jọ níbi orísìírísìí jákèjádò orílẹ̀ èdè náà .,masakhaner,10
Moro kó owó sápòo rẹ̀ bẹ́ẹ̀ náà ó fo òfin ìgbanǹkan Aṣọ́bodè dá .,masakhaner,14
"‘Kò nílò ìdákẹ́ jẹ́jẹ́ , ìbẹ̀rù bojo tàbí ìkáàánú - araẹni’ – # SayNoToSocialMediaBill !",masakhaner,15
Kà síwájú sí i :,masakhaner,5
‎Èyí ni ìgbà tí àwọn ayàwòrán ń ṣiṣẹ́ .,masakhaner,9
"A sọ , a kọ , a p'èdè .",masakhaner,9
'Èyí ni ìpinnu tí ó dára jù lọ tí ilé - ẹjọ́ yóò ṣe',masakhaner,14
Àtẹ̀jáde ìtúmọ̀ 11 Bẹlu 2019 16 : 36 GMT,masakhaner,9
Àwọn ọmọ orí ayélujára ṣíra láti fi ìdùnnúu wọn hàn lóríi ìdájọ́ náà .,masakhaner,14
Àwọn kan kí Rebeca Z .,masakhaner,6
Ìgbésẹ̀ láti fòpin sí ìsoyìgì ọmọdé ní Tanzania,masakhaner,8
Gyumi rọ Ilé - ẹjọ́ Gíga láti gbé àlàálẹ̀ LMA tì sẹ́gbẹ̀ẹ́ .,masakhaner,13
Ilé - ẹjọ́ Gíga kò ṣe bẹ́ẹ̀ .,masakhaner,8
Ẹjọ́ òǹkaye 204 ti oṣù Ọ̀wẹwẹ̀ ọdún - un 2017 .,masakhaner,11
Kà síwájú sí i : Mozambique sọ ìsoyìgì ọmọdé di ìwà ọ̀daràn,masakhaner,12
Àyè fún àtúnpè - ẹjọ́,masakhaner,5
Ẹrù ọjà pẹ̀lú àkórí nípa Jamaica di títà lórí ayélujára,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 26 Ọ̀wàrà 2019 12 : 50 GMT,masakhaner,9
"Àwòrán láti ọwọ́ọ Jason Persse , CC BY - SA 2 . 0 .",masakhaner,14
Kí àwọn méjèèjì mọ̀ pé àtúnṣe kì í ṣe nǹkan tó ma yá kíákíá .,masakhaner,15
Mo lérò wípé ìjọba ní àwọn agbẹjọ́rò tó ká ojú òṣùwọ̀n .,masakhaner,12
'Ọ̀pọ̀lọpọ̀ ìlú ti kọ̀yìn síjọba lórí ìgbésẹ̀ yìí . ',masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 17 Ọ̀wàrà 2019 4 : 03 GMT,masakhaner,9
Àgékù ohun tí ó ń ṣẹlẹ̀ ní Guinea láti ìròyìn ránpẹ́ France 24 kan .,masakhaner,15
Ìtúmọ̀ Ìtúnwí - ọ̀rọ̀ Ọlọ́rọ̀ gan - an,masakhaner,8
A rọ àwọn ọ̀dọ́ ẹgbẹ́ òṣèlú náà láti kún fún ìṣọ́ra ní ojúu pópó .,masakhaner,15
Káràkátà dẹnu kọlẹ̀ ní àárín gbùngbùn ibi ìṣàkóso ìlú ní Kalou .,masakhaner,12
Ènìyàn díẹ̀ ni ó jáde ní ìgbèríko àti Òkèe Guinea .,masakhaner,11
"Àmọ́ ṣá , ọ̀pọ̀lọpọ̀ ìlú ti kọ̀yìn síjọba lórí ìgbésẹ̀ yìí .",masakhaner,12
Àwọn ọmọ ìlú orí ayélujára fajúro sí ìṣẹ̀lẹ̀ náà lórí ẹ̀rọ alátagbà :,masakhaner,13
Ó di ọjọ́ iwájú kí á tó mọ̀ .,masakhaner,9
"Ní báyìí ṣá , ọkọ̀ ojú omi ti ń ré .",masakhaner,11
"Lọ́jọ́ 15 oṣù Ọ̀wàrà , akọ̀ròyin Guinea Bhiye Bary kọ :",masakhaner,11
"Ẹ̀yin aráa Guinea , ẹ mú ọkàn le !",masakhaner,9
# GUINÉE – ó jẹ́ ohun ìyàlẹ́nu .,masakhaner,8
Ìtìjú mú àwọn tí ìṣẹ̀lẹ̀ ṣẹlẹ̀ sí máà leè sọ,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 9 Ọ̀wàrà 2019 20 : 46 GMT,masakhaner,9
Àwòrán láti BBC # SexForGrades .,masakhaner,6
Igbeneghu sọ báyìí wípé :,masakhaner,5
Ṣé o kò mọ̀ wípé ọmọbìnrin arẹwà ni ọ́ ?,masakhaner,10
"Ìjọ Ajíhìnrere Foursquare ti dá Igbeneghu dúró “ lẹ́nu iṣẹ́ ìhìn rere """""""" .",masakhaner,14
Àwọn ìṣẹ̀lẹ̀ ìbànújẹ́ ọdún sẹ́yìn,masakhaner,5
Àwọn ọ̀jọ̀gbọ́n oníṣìná ilé ẹ̀kọ́ gíga Nàìjíríà ti ba ti àwọn obìnrin jẹ́ .,masakhaner,14
Kà síwájú sí i : Àlùfáà tàbí apanijẹ bí ẹ̀pa ?,masakhaner,11
Ajíhìnrere Oníwàásù nínúu wàhálà ẹ̀sùn ìfipábánilòpọ̀,masakhaner,6
Ó fún àwọn obìnrin ní àǹfààní láti wí ti ẹnu wọn .,masakhaner,12
Ìgbà àti àkókò nìkan ni yóò sọ .,masakhaner,8
Ilé ẹ̀kọ́ ìmọ̀ orin kíkọ kan ṣoṣo ní Zanzibar ti fẹ́ di títì pa,masakhaner,14
Ilé - ẹ̀kọ́ Orin Kíkọ Àwọn Orílẹ̀ - èdè Dhow f'orin ṣègbélárugẹ àṣàa Swahili,masakhaner,14
Àtẹ̀jáde ìtúmọ̀ 4 Ọ̀wàrà 2019 18 : 28 GMT,masakhaner,9
DCMA ló ni àwòrán .,masakhaner,5
"Akẹ́kọ̀ọ́ DCMA kan ń kọ́ qanun , ohun èlò orin ayédáadé orin taarab .",masakhaner,14
Àwòrán láti iléèwé DCMA .,masakhaner,5
Àwòrán jẹ́ ti iléèwée DCMA .,masakhaner,6
Ìtàn náà jọ ti Omar Juma fúnra rẹ̀ :,masakhaner,9
Ìtàn nípa àyálò àṣà àti àjọṣepọ̀,masakhaner,6
DCMA ni ó ni àwòrán .,masakhaner,6
Ìfiyèsí Alákòóso Ìwé Títẹ̀ : Òǹkọ̀wé àtẹ́jádé yìí ti ṣiṣẹ́ ọ̀fẹ́ pẹ̀lú DCMA .,masakhaner,14
Ìṣọdẹ - àjẹ́ ṣì ń gba ẹ̀mí àwọn ènìyàn ní ìgbèríko India,masakhaner,12
Àtẹ̀jáde ìtúmọ̀ 8 Ògún 2019 15 : 17 GMT,masakhaner,9
Ìletò kan ní ẹ̀báa Jamshedpur ní Jharkhand .,masakhaner,8
Àwòrán láti ọwọ́ọ Anumeha Verma,masakhaner,5
Mẹ́jọ nínú àwọn ènìyànkéènìà wọ̀nyí ti wà ní akóló ọlọ́pàá .,masakhaner,11
Àrùn T’ó Ń Peléke Sí i,masakhaner,6
FLAC ti ń ṣe àtọ́nàa ìṣòfin tí ó tako ìṣọdẹ - àjẹ́ ní Jharkhand .,masakhaner,15
Prem Chand sọ wípé ó kan apá kan nínú àwọn ọmọ ìlú :,masakhaner,13
"Àwọn tí ó f’ara kááṣá wọ̀nyìí ni àwọn Adivasis , Harijans àti Dalits .",masakhaner,14
Ọ̀ràn wọ̀nyí ti fi hàn wípé àhesọ ni ó máa fi ń bẹ̀rẹ̀ .,masakhaner,14
Gẹ́gẹ́ bí Prem Chand ṣe ti sọ :,masakhaner,8
Ìṣọdẹ - àjẹ́ jákèjádò India,masakhaner,5
Ìṣẹ̀lẹ̀ 2017 ní ipínlẹ̀ Rajasthan .,masakhaner,6
Chutni Mahato ti Saraikela ní Jharkhand jẹ́ ọ̀kan lára wọn .,masakhaner,11
Àwọn ènìyàn láti agbègbè náà máa ń pè é ní ‘tigress’ .,masakhaner,12
Wọ́n fi ẹ̀sùn - un àjẹ́ kàn - án ní ọdún - un 1995 .,masakhaner,15
"Síbẹ̀síbẹ̀ , mo ti jìyà nítorí ìwà pálapàla yìí .",masakhaner,10
Dídá Ohùn Gbogboògbò Sí i,masakhaner,5
Ní ọ̀rọ̀ọ Prem Chand :,masakhaner,5
Ìtọ́jú àwọn erin aláìlóbìíi Myanmar,masakhaner,5
Àtẹ̀jáde ìtúmọ̀ 30 Ọ̀wẹwẹ̀ 2019 9 : 37 GMT,masakhaner,9
Òṣìṣẹ́ àgọ̀ kan ń rọ Ayeyar Maung ní oúnjẹ .,masakhaner,10
Ẹsẹ̀ẹ rẹ̀ kan ti lu páḿpẹ́ àwọn ajérangbépa .,masakhaner,9
"Ọ̀dọ́ erin mìíràn , Ayeyar Maung náà rí nǹkan .",masakhaner,10
"Lọ́wọ́ lọ́wọ́ báyìí , Myanmar yóò fẹ́rẹ̀ẹ́ ní tó erin ẹgàn 1 , 500 .",masakhaner,15
Àtẹ̀jáde ìtúmọ̀ 23 Ọ̀wẹwẹ̀ 2019 19 : 45 GMT,masakhaner,9
