pair_id,sentence,label,corruption_type,phenomenon,source
tone_0000,Ó tún dúpẹ́ lówọ́ àwọn ọmọ orílẹ̀-èdè Nàìjííríà fún àdúrà àti àtìlẹyìn wọn.,correct,none,tone,menyo20k
tone_0000,O tun dupẹ lowọ awọn ọmọ orilẹ-ede Naijiiria fun adura ati atilẹyin wọn.,incorrect,strip_all,tone,menyo20k
tone_0000,Ó tún dúpẹ́ lówọ́ àwọn ọmọ orílẹ̀-èdè Nàìjííríà fún àdúrá àti àtìlẹyìn wọn.,incorrect,single_flip,tone,menyo20k
tone_0000,Ó tún dúpẹ lówọ́ àwọn ọmọ orílẹ̀-èdè Nàìjííríà fún àdúrà àti àtìlẹyìn wọn.,incorrect,single_delete,tone,menyo20k
tone_0001,Ìjàm̀bá Àwọn Ológun Mauritania 28 tí wọ́n pa ní ọjọ́ Òmìnira tí a kò sọ,correct,none,tone,menyo20k
tone_0001,Ijamba Awọn Ologun Mauritania 28 ti wọn pa ni ọjọ Ominira ti a ko sọ,incorrect,strip_all,tone,menyo20k
tone_0001,Íjàm̀bá Àwọn Ológun Mauritania 28 tí wọ́n pa ní ọjọ́ Òmìnira tí a kò sọ,incorrect,single_flip,tone,menyo20k
tone_0001,Ìjàm̀bá Àwọn Ológun Mauritania 28 tí wọ́n pa ní ọjọ́ Òminira tí a kò sọ,incorrect,single_delete,tone,menyo20k
tone_0002,Ìgbà ara ń bẹ lára là ń bù ú tà.,correct,none,tone,menyo20k
tone_0002,Igba ara n bẹ lara la n bu u ta.,incorrect,strip_all,tone,menyo20k
tone_0002,Ìgbà ara ń bẹ lára lá ń bù ú tà.,incorrect,single_flip,tone,menyo20k
tone_0002,Ìgbà ara ń bẹ lara là ń bù ú tà.,incorrect,single_delete,tone,menyo20k
tone_0003,Má ì tí ì lọ,correct,none,tone,menyo20k
tone_0003,Ma i ti i lọ,incorrect,strip_all,tone,menyo20k
tone_0003,Má í tí ì lọ,incorrect,single_flip,tone,menyo20k
tone_0003,Má i tí ì lọ,incorrect,single_delete,tone,menyo20k
tone_0004,"Bí àjànàkú ò bá rí ohun gbémì, kì í ṣe inú gbẹndu sọ́dẹ.",correct,none,tone,menyo20k
tone_0004,"Bi ajanaku o ba ri ohun gbemi, ki i ṣe inu gbẹndu sọdẹ.",incorrect,strip_all,tone,menyo20k
tone_0004,"Bí àjànàkú ò bá rí ohun gbémì, kì ì ṣe inú gbẹndu sọ́dẹ.",incorrect,single_flip,tone,menyo20k
tone_0004,"Bí ajànàkú ò bá rí ohun gbémì, kì í ṣe inú gbẹndu sọ́dẹ.",incorrect,single_delete,tone,menyo20k
tone_0005,"Ẹlẹ́dẹ̀ ń pàfọ̀, ó rò pé òún ń ṣoge.",correct,none,tone,menyo20k
tone_0005,"Ẹlẹdẹ n pafọ, o ro pe oun n ṣoge.",incorrect,strip_all,tone,menyo20k
tone_0005,"Ẹlẹ́dẹ̀ ń pàfọ̀, ó rò pé òún ǹ ṣoge.",incorrect,single_flip,tone,menyo20k
tone_0005,"Ẹlẹ́dẹ̀ ń pàfọ̀, ó rò pé oún ń ṣoge.",incorrect,single_delete,tone,menyo20k
tone_0006,--- Ọmọ Didier Drogba dara pọ̀ mọ́ ikọ̀ agbábọ́ọ̀lù Guingamp.,correct,none,tone,menyo20k
tone_0006,--- Ọmọ Didier Drogba dara pọ mọ ikọ agbabọọlu Guingamp.,incorrect,strip_all,tone,menyo20k
tone_0006,--- Ọmọ Didier Drogba dara pọ́ mọ́ ikọ̀ agbábọ́ọ̀lù Guingamp.,incorrect,single_flip,tone,menyo20k
tone_0006,--- Ọmọ Didier Drogba dara pọ̀ mọ́ ikọ̀ agbábọọ̀lù Guingamp.,incorrect,single_delete,tone,menyo20k
tone_0007,Àkànṣe lọfà ìmàdò; jagan oró ò ran èse.,correct,none,tone,menyo20k
tone_0007,Akanṣe lọfa imado; jagan oro o ran ese.,incorrect,strip_all,tone,menyo20k
tone_0007,Àkànṣe lọfà ìmàdò; jagan orò ò ran èse.,incorrect,single_flip,tone,menyo20k
tone_0007,Akànṣe lọfà ìmàdò; jagan oró ò ran èse.,incorrect,single_delete,tone,menyo20k
tone_0008,Ṣé èmi lò ń bá wí?,correct,none,tone,menyo20k
tone_0008,Ṣe emi lo n ba wi?,incorrect,strip_all,tone,menyo20k
tone_0008,Ṣè èmi lò ń bá wí?,incorrect,single_flip,tone,menyo20k
tone_0008,Ṣe èmi lò ń bá wí?,incorrect,single_delete,tone,menyo20k
tone_0009,"Bí òní ti rí, ọ̀la ò rí bẹ́ẹ̀, ni babaláwoó fi ń dÍfá lọ́rọọrún.",correct,none,tone,menyo20k
tone_0009,"Bi oni ti ri, ọla o ri bẹẹ, ni babalawoo fi n dIfa lọrọọrun.",incorrect,strip_all,tone,menyo20k
tone_0009,"Bí òní ti rí, ọ̀la ò rì bẹ́ẹ̀, ni babaláwoó fi ń dÍfá lọ́rọọrún.",incorrect,single_flip,tone,menyo20k
tone_0009,"Bí òní ti rí, ọ̀la ò rí bẹẹ̀, ni babaláwoó fi ń dÍfá lọ́rọọrún.",incorrect,single_delete,tone,menyo20k
tone_0010,Oṣù February ni ilé ẹjọ́ rán Arákùnrin Christensen lẹ́wọ̀n.,correct,none,tone,menyo20k
tone_0010,Oṣu February ni ile ẹjọ ran Arakunrin Christensen lẹwọn.,incorrect,strip_all,tone,menyo20k
tone_0010,Oṣú February ni ilé ẹjọ́ rán Arákùnrin Christensen lẹ́wọ̀n.,incorrect,single_flip,tone,menyo20k
tone_0010,Oṣù February ni ilé ẹjọ́ ran Arákùnrin Christensen lẹ́wọ̀n.,incorrect,single_delete,tone,menyo20k
tone_0011,Oníròyìn Orí ẹ̀rọ-alátagbà Luis Carlos Diaz di àwátì ní Venezuela,correct,none,tone,menyo20k
tone_0011,Oniroyin Ori ẹrọ-alatagba Luis Carlos Diaz di awati ni Venezuela,incorrect,strip_all,tone,menyo20k
tone_0011,Oníròyìn Orí ẹ̀rọ-alátagbà Luis Carlos Diaz di àwátì nì Venezuela,incorrect,single_flip,tone,menyo20k
tone_0011,Oníròyìn Orí ẹ̀rọ-alátagbà Luis Carlos Diaz di àwatì ní Venezuela,incorrect,single_delete,tone,menyo20k
tone_0012,"Rárá, ipò àìlera kan ni, àlàáfíà máa tó ẹ",correct,none,tone,menyo20k
tone_0012,"Rara, ipo ailera kan ni, alaafia maa to ẹ",incorrect,strip_all,tone,menyo20k
tone_0012,"Rárá, ipò àìlera kan ni, àlááfíà máa tó ẹ",incorrect,single_flip,tone,menyo20k
tone_0012,"Rárá, ipò aìlera kan ni, àlàáfíà máa tó ẹ",incorrect,single_delete,tone,menyo20k
tone_0013,Àì-mọwọ́-ọ́-wẹ̀ ni àì-bágbà-jẹ; ọmọ tó mọwọ́ọ́ wẹ̀ á bágbà jẹ.,correct,none,tone,menyo20k
tone_0013,Ai-mọwọ-ọ-wẹ ni ai-bagba-jẹ; ọmọ to mọwọọ wẹ a bagba jẹ.,incorrect,strip_all,tone,menyo20k
tone_0013,Àì-mọwọ́-ọ́-wẹ̀ ni àì-bágbà-jẹ; ọmọ tó mọwọ́ọ́ wẹ̀ á bàgbà jẹ.,incorrect,single_flip,tone,menyo20k
tone_0013,Àì-mọwọ́-ọ́-wẹ̀ ni àì-bágba-jẹ; ọmọ tó mọwọ́ọ́ wẹ̀ á bágbà jẹ.,incorrect,single_delete,tone,menyo20k
tone_0014,"Níparí, ṣèrántí wípé ibi-ìkọ̀kọ̀ lè yí padà.",correct,none,tone,menyo20k
tone_0014,"Nipari, ṣeranti wipe ibi-ikọkọ le yi pada.",incorrect,strip_all,tone,menyo20k
tone_0014,"Níparí, ṣèrántí wípé ibi-ìkọ̀kọ̀ lè yí padá.",incorrect,single_flip,tone,menyo20k
tone_0014,"Niparí, ṣèrántí wípé ibi-ìkọ̀kọ̀ lè yí padà.",incorrect,single_delete,tone,menyo20k
tone_0015,Ìyẹn dá mi lójú hán-ún hán-ún.”,correct,none,tone,menyo20k
tone_0015,Iyẹn da mi loju han-un han-un.”,incorrect,strip_all,tone,menyo20k
tone_0015,Ìyẹn dá mi lòjú hán-ún hán-ún.”,incorrect,single_flip,tone,menyo20k
tone_0015,Ìyẹn dá mi lójú hán-ún han-ún.”,incorrect,single_delete,tone,menyo20k
tone_0016,Ẹni tó ránṣẹ́ sí oròó bẹ̀wẹ̀ fún àìsùn.,correct,none,tone,menyo20k
tone_0016,Ẹni to ranṣẹ si oroo bẹwẹ fun aisun.,incorrect,strip_all,tone,menyo20k
tone_0016,Ẹni tó ránṣẹ́ sí oròò bẹ̀wẹ̀ fún àìsùn.,incorrect,single_flip,tone,menyo20k
tone_0016,Ẹni tó ránṣẹ́ sí oroó bẹ̀wẹ̀ fún àìsùn.,incorrect,single_delete,tone,menyo20k
tone_0017,"Ní báyìí, Mancini yóò kúrò nínú ikọ̀ ọ̀hún láìgba owó gbàmábìínú kankan.",correct,none,tone,menyo20k
tone_0017,"Ni bayii, Mancini yoo kuro ninu ikọ ọhun laigba owo gbamabiinu kankan.",incorrect,strip_all,tone,menyo20k
tone_0017,"Ní báyìí, Mancini yòò kúrò nínú ikọ̀ ọ̀hún láìgba owó gbàmábìínú kankan.",incorrect,single_flip,tone,menyo20k
tone_0017,"Ní báyìí, Mancini yóò kurò nínú ikọ̀ ọ̀hún láìgba owó gbàmábìínú kankan.",incorrect,single_delete,tone,menyo20k
tone_0018,--- S̩ís̩í àwo̩n ilé-è̩kó̩ kò tíì farahàn - Mínísítà,correct,none,tone,menyo20k
tone_0018,--- S̩is̩i awo̩n ile-e̩ko̩ ko tii farahan - Minisita,incorrect,strip_all,tone,menyo20k
tone_0018,--- S̩ís̩í àwo̩n ilé-è̩kó̩ kò tíì farahàn - Mínísìtà,incorrect,single_flip,tone,menyo20k
tone_0018,--- S̩ís̩í àwo̩n ilé-è̩ko̩ kò tíì farahàn - Mínísítà,incorrect,single_delete,tone,menyo20k
tone_0019,Gbólóhùn kan Agán tó awoó ṣe.,correct,none,tone,menyo20k
tone_0019,Gbolohun kan Agan to awoo ṣe.,incorrect,strip_all,tone,menyo20k
tone_0019,Gbòlóhùn kan Agán tó awoó ṣe.,incorrect,single_flip,tone,menyo20k
tone_0019,Gbolóhùn kan Agán tó awoó ṣe.,incorrect,single_delete,tone,menyo20k
tone_0020,"Bí ẹ bá lọ sórí ẹ̀rọ-ayélukára nísìyìí, e ó rí ọ̀pọ̀lọpọ̀ afitóni aṣinilọ́nà.",correct,none,tone,menyo20k
tone_0020,"Bi ẹ ba lọ sori ẹrọ-ayelukara nisiyii, e o ri ọpọlọpọ afitoni aṣinilọna.",incorrect,strip_all,tone,menyo20k
tone_0020,"Bí ẹ bá lọ sórí ẹ̀rọ-ayélukára nísìyìí, e ó rì ọ̀pọ̀lọpọ̀ afitóni aṣinilọ́nà.",incorrect,single_flip,tone,menyo20k
tone_0020,"Bí ẹ bá lọ sóri ẹ̀rọ-ayélukára nísìyìí, e ó rí ọ̀pọ̀lọpọ̀ afitóni aṣinilọ́nà.",incorrect,single_delete,tone,menyo20k
tone_0021,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.",correct,none,tone,menyo20k
tone_0021,"Oju ti koko, oju ti eewo; oju ti aaragba idi pẹlu.",incorrect,strip_all,tone,menyo20k
tone_0021,"Ojú ti kókó, ojú ti eéwo; ojù ti aáràgbá ìdí pẹ̀lú.",incorrect,single_flip,tone,menyo20k
tone_0021,"Ojú ti kókó, ojú ti eéwo; oju ti aáràgbá ìdí pẹ̀lú.",incorrect,single_delete,tone,menyo20k
tone_0022,Ọlọ́run ṣeun pé ẹ wà níbí,correct,none,tone,menyo20k
tone_0022,Ọlọrun ṣeun pe ẹ wa nibi,incorrect,strip_all,tone,menyo20k
tone_0022,Ọlọ́run ṣeun pé ẹ wà níbì,incorrect,single_flip,tone,menyo20k
tone_0022,Ọlọ́run ṣeun pé ẹ wa níbí,incorrect,single_delete,tone,menyo20k
tone_0023,"Omar Robert Hamilton, olùkùu Alaa, to àwọn ète ìpolongo náà lẹ́sẹẹsẹ lóríi Twitter:",correct,none,tone,menyo20k
tone_0023,"Omar Robert Hamilton, olukuu Alaa, to awọn ete ipolongo naa lẹsẹẹsẹ lorii Twitter:",incorrect,strip_all,tone,menyo20k
tone_0023,"Omar Robert Hamilton, olúkùu Alaa, to àwọn ète ìpolongo náà lẹ́sẹẹsẹ lóríi Twitter:",incorrect,single_flip,tone,menyo20k
tone_0023,"Omar Robert Hamilton, olùkùu Alaa, to àwọn ète ìpolongo náà lẹsẹẹsẹ lóríi Twitter:",incorrect,single_delete,tone,menyo20k
tone_0024,"Láti báa yín sọ̀rọ̀ tààrà, àwọn òòṣa ti Silicon Valley.",correct,none,tone,menyo20k
tone_0024,"Lati baa yin sọrọ taara, awọn ooṣa ti Silicon Valley.",incorrect,strip_all,tone,menyo20k
